"Attribute","Expected","Rationale"
"Stand BA, volume, crown closure, stems","positive","Denser canopy holds the pheromone plume together; thinner stands admit wind that disperses it [@krawchuk2020; @cartwright2018; @powell2014]."
"Quadratic mean diameter","positive >25cm","Trees under 25 cm are beetle sinks, over 25 cm are sources [@carroll2004bionomics]."
"Lodgepole pine cover and BA","positive","Attack cannot occur where the host is absent; a cell without pine is not a refugium [@cartwright2018]."
"Flight-period direct radiation","positive","Flight is confined to 19 to 41 degrees C and peaks on bright afternoons, so sunlit slopes are reachable [@safranyik2006chap1; @mccambridge1971]."
"Growing-season direct radiation","negative","Shading cools, relieving water stress and sustaining defence, and cool sites also push the beetle toward a two-year cycle [@krawchuk2020; @sambaraju2021]."
"Terrain exposure to wind","negative","Wind disrupts the pheromone plume, so exposed ground should have less attack [@krawchuk2020]."
"Terrain shelter and sky view","positive, as main effect","Beetles land without discriminating hosts after wind-borne transport, so sheltered, open ground should receive more landings whatever the stand [@hynum1980; @jackson2008; @chen2017]."
"Terrain ruggedness","uncertain","The strongest terrain term in the companion study on this landscape, but fitted there against regeneration rather than attack [@murphy2026]."
"Convergence, wetness, valley & slope position","positive in convergent terrain","Infested groups gather in draws and gullies, and deep snow insulates overwintering brood [@safranyik2006chap1]."
"Flight-period wind speed","negative","The mechanism acts during dispersal, and no study specifies the interval, so it is taken at the flight period [@krawchuk2020; @jones2019]."
"Elevation","uncertain","A composite of temperature, snowpack, season length and host distribution that this design cannot separate [@sambaraju2021]."
